"filename", "language", "CSS", "JavaScript", "PHP", "Markdown", "YAML", "SCSS", "JSON", "PowerShell", "XML", "HTML", "Ruby", "C++", "C", "Python", "CMake", "Shell Script", "comment", "blank", "total"
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\CHANGELOG.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\CONTRIBUTING.md", "Markdown", 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 250
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\Gruntfile.js", "JavaScript", 0, 315, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 195, 40, 550
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\README.md", "Markdown", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 131
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\_config.yml", "YAML", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 45
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\bower.json", "JSON", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\composer.json", "JSON", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\dist\css\bootstrap.css", "CSS", 5263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 942, 6212
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\dist\css\bootstrap.min.css", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\dist\js\bootstrap.js", "JavaScript", 0, 2554, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 337, 670, 3561
